GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,ZCTA,SABINSA,TOTAL,URBAN,URBAN_AREAS,URBAN_CLUSTER,RURAL,NONDF,Rural_Dummy
G00601,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,,,ZCTA5 00601,601,,18570,10679,0,10679,7891,0,0
G00602,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,,,ZCTA5 00602,602,,41520,41520,41520,0,0,0,0
G00603,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,ZCTA5 00603,603,,54689,54646,54646,0,43,0,0
G00606,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,ZCTA5 00606,606,,6615,2697,0,2697,3918,0,1
G00610,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,ZCTA5 00610,610,,29016,25640,25640,0,3376,0,0
G00612,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,,,,,ZCTA5 00612,612,,67010,62391,62391,0,4619,0,0
G00616,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,,,ZCTA5 00616,616,,11017,10438,10438,0,579,0,0
G00617,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,,,,,ZCTA5 00617,617,,24597,24161,24161,0,436,0,0
G00622,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,ZCTA5 00622,622,,7853,6171,6171,0,1682,0,0
G00623,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,,,,,ZCTA5 00623,623,,43061,42435,42435,0,626,0,0
G00624,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,,,,ZCTA5 00624,624,,26241,22198,22198,0,4043,0,0
G00627,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,,,,ZCTA5 00627,627,,35159,30415,30415,0,4744,0,0
G00631,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,ZCTA5 00631,631,,1852,0,0,0,1852,0,1
G00637,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,,,,ZCTA5 00637,637,,25287,23163,23163,0,2124,0,0
G00638,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,ZCTA5 00638,638,,18941,11839,11839,0,7102,0,0
G00641,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,,,,,ZCTA5 00641,641,,31191,17647,17647,0,13544,0,0
G00646,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,,,,,ZCTA5 00646,646,,38199,38199,38199,0,0,0,0
G00647,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,,,,ZCTA5 00647,647,,6172,4824,4824,0,1348,0,0
G00650,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,ZCTA5 00650,650,,14998,10556,10556,0,4442,0,0
G00652,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,,,,,ZCTA5 00652,652,,4715,3499,3499,0,1216,0,0
G00653,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,ZCTA5 00653,653,,13307,12414,12414,0,893,0,0
G00656,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,,,,,ZCTA5 00656,656,,21481,18931,18931,0,2550,0,0
G00659,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,,,,,ZCTA5 00659,659,,41953,37407,37407,0,4546,0,0
G00660,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,ZCTA5 00660,660,,17250,17216,17216,0,34,0,0
G00662,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,ZCTA5 00662,662,,43282,41045,41045,0,2237,0,0
G00664,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,ZCTA5 00664,664,,16784,11300,0,11300,5484,0,0
G00667,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,,,,,ZCTA5 00667,667,,25968,21332,21332,0,4636,0,0
G00669,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,,,,,ZCTA5 00669,669,,29744,23005,23005,0,6739,0,0
G00670,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,ZCTA5 00670,670,,9807,3214,3214,0,6593,0,1
G00674,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,,ZCTA5 00674,674,,44457,41451,41451,0,3006,0,0
G00676,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,ZCTA5 00676,676,,40316,35279,35279,0,5037,0,0
G00677,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,ZCTA5 00677,677,,15272,15272,15272,0,0,0,0
G00678,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,,,,ZCTA5 00678,678,,27819,25250,25250,0,2569,0,0
G00680,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,,,,ZCTA5 00680,680,,58140,55306,55306,0,2834,0,0
G00682,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,,ZCTA5 00682,682,,32615,31681,31681,0,934,0,0
G00683,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,,ZCTA5 00683,683,,33772,30656,30656,0,3116,0,0
G00685,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,ZCTA5 00685,685,,42831,37131,37131,0,5700,0,0
G00687,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,,,,,ZCTA5 00687,687,,32610,29002,29002,0,3608,0,0
G00688,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,,,,,ZCTA5 00688,688,,13543,11072,11072,0,2471,0,0
G00690,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,ZCTA5 00690,690,,6255,6255,6255,0,0,0,0
G00692,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,,,,,ZCTA5 00692,692,,37511,36811,36811,0,700,0,0
G00693,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,,,,ZCTA5 00693,693,,61038,58565,58565,0,2473,0,0
G00694,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,,,,,ZCTA5 00694,694,,328,328,328,0,0,0,0
G00698,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,,,,,ZCTA5 00698,698,,41782,34339,34339,0,7443,0,0
G00703,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,ZCTA5 00703,703,,28605,25704,25704,0,2901,0,0
G00704,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,ZCTA5 00704,704,,8577,8451,6454,1997,126,0,0
G00705,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,ZCTA5 00705,705,,25598,22433,22433,0,3165,0,0
G00707,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,,,,,ZCTA5 00707,707,,12225,9277,46,9231,2948,0,0
G00714,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,,,,,ZCTA5 00714,714,,19566,18740,18740,0,826,0,0
G00715,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,,,ZCTA5 00715,715,,3656,3445,3445,0,211,0,0
G00716,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,,,,,ZCTA5 00716,716,,33779,33772,33772,0,7,0,0
G00717,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,,,,,ZCTA5 00717,717,,18457,18457,18457,0,0,0,0
G00718,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,ZCTA5 00718,718,,26606,24447,24447,0,2159,0,0
G00719,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,ZCTA5 00719,719,,30990,30990,30990,0,0,0,0
G00720,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,ZCTA5 00720,720,,23129,15016,15016,0,8113,0,0
G00723,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,ZCTA5 00723,723,,19277,14345,14345,0,4932,0,0
G00725,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,,ZCTA5 00725,725,,89374,88248,88248,0,1126,0,0
G00727,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,,,,,ZCTA5 00727,727,,58382,58098,58098,0,284,0,0
G00728,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,ZCTA5 00728,728,,44908,44878,44878,0,30,0,0
G00729,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,,,,ZCTA5 00729,729,,53750,52665,52665,0,1085,0,0
G00730,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,ZCTA5 00730,730,,35742,35602,35602,0,140,0,0
G00731,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,ZCTA5 00731,731,,15524,9941,9498,443,5583,0,0
G00735,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,,,,,ZCTA5 00735,735,,13730,12055,12055,0,1675,0,0
G00736,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,,,ZCTA5 00736,736,,51532,46566,46566,0,4966,0,0
G00738,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,,,,,ZCTA5 00738,738,,34922,34138,34138,0,784,0,0
G00739,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,,,,,ZCTA5 00739,739,,39678,38548,38548,0,1130,0,0
G00740,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,,,,,ZCTA5 00740,740,,2071,2071,2071,0,0,0,0
G00741,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,ZCTA5 00741,741,,4971,4971,4971,0,0,0,0
G00745,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,,,,ZCTA5 00745,745,,55062,53688,53688,0,1374,0,0
G00751,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,,,,,ZCTA5 00751,751,,23129,19033,2089,16944,4096,0,0
G00754,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,,,,,ZCTA5 00754,754,,40828,36221,36221,0,4607,0,0
G00757,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,,,,,ZCTA5 00757,757,,23263,20295,0,20295,2968,0,0
G00765,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,,,,ZCTA5 00765,765,,9098,8068,0,8068,1030,0,0
G00766,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,,,,,ZCTA5 00766,766,,26488,22564,22564,0,3924,0,0
G00767,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,,,,,ZCTA5 00767,767,,38019,32192,32192,0,5827,0,0
G00769,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,,,,,ZCTA5 00769,769,,40248,32781,1394,31387,7467,0,0
G00771,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,,,,,ZCTA5 00771,771,,38394,37453,37453,0,941,0,0
G00772,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,,,,,ZCTA5 00772,772,,23105,22884,22884,0,221,0,0
G00773,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,ZCTA5 00773,773,,20068,18289,18289,0,1779,0,0
G00775,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,,,,,ZCTA5 00775,775,,1786,0,0,0,1786,0,1
G00777,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,,,,,ZCTA5 00777,777,,40684,39389,39389,0,1295,0,0
G00778,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,,,,,ZCTA5 00778,778,,45429,45267,45267,0,162,0,0
G00780,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,ZCTA5 00780,780,,13800,12555,12555,0,1245,0,0
G00782,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,,,,,ZCTA5 00782,782,,19304,16841,16841,0,2463,0,0
G00783,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,,,,,ZCTA5 00783,783,,36557,34186,34186,0,2371,0,0
G00784,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,,,,,ZCTA5 00784,784,,44637,40553,40553,0,4084,0,0
G00786,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,,,,,ZCTA5 00786,786,,357,357,357,0,0,0,0
G00791,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,,,,,ZCTA5 00791,791,,53417,53213,53213,0,204,0,0
G00794,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,,,,,ZCTA5 00794,794,,30585,29472,29472,0,1113,0,0
G00795,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,,,,,ZCTA5 00795,795,,48736,45396,45320,76,3340,0,0
G00901,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,ZCTA5 00901,901,,7080,7080,7080,0,0,0,0
G00906,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,ZCTA5 00906,906,,4,4,4,0,0,0,0
G00907,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,,,,,ZCTA5 00907,907,,17458,17458,17458,0,0,0,0
G00909,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,,,,,ZCTA5 00909,909,,6230,6230,6230,0,0,0,0
G00911,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,ZCTA5 00911,911,,8623,8623,8623,0,0,0,0
G00912,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,,,,,ZCTA5 00912,912,,6801,6801,6801,0,0,0,0
G00913,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,,ZCTA5 00913,913,,9312,9312,9312,0,0,0,0
G00915,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,,,,,ZCTA5 00915,915,,32820,32820,32820,0,0,0,0
G00917,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,,,,ZCTA5 00917,917,,21053,21053,21053,0,0,0,0
G00918,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,,,,,ZCTA5 00918,918,,18056,18056,18056,0,0,0,0
G00920,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,ZCTA5 00920,920,,17893,17893,17893,0,0,0,0
G00921,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,,,,,ZCTA5 00921,921,,37763,37763,37763,0,0,0,0
G00923,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,,,,,ZCTA5 00923,923,,29086,29086,29086,0,0,0,0
G00924,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,,ZCTA5 00924,924,,56691,56691,56691,0,0,0,0
G00925,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,,,,,ZCTA5 00925,925,,8696,8696,8696,0,0,0,0
G00926,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,,,,,ZCTA5 00926,926,,108862,108862,108862,0,0,0,0
G00927,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,,,,,ZCTA5 00927,927,,14936,14936,14936,0,0,0,0
G00934,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,,,,,ZCTA5 00934,934,,288,288,288,0,0,0,0
G00936,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,,,,,ZCTA5 00936,936,,681,681,681,0,0,0,0
G00949,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949,,,,,ZCTA5 00949,949,,82278,82278,82278,0,0,0,0
G00950,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,ZCTA5 00950,950,,9,0,0,0,9,0,1
G00951,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,,ZCTA5 00951,951,,35,35,35,0,0,0,0
G00952,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,,ZCTA5 00952,952,,10008,10008,10008,0,0,0,0
G00953,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,ZCTA5 00953,953,,73014,73014,73014,0,0,0,0
G00956,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,,,,,ZCTA5 00956,956,,79304,79280,79280,0,24,0,0
G00957,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,,ZCTA5 00957,957,,45680,45680,45680,0,0,0,0
G00959,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,,,,,ZCTA5 00959,959,,50560,50560,50560,0,0,0,0
G00960,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,,ZCTA5 00960,960,,1779,1779,1779,0,0,0,0
G00961,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,,,,,ZCTA5 00961,961,,32429,32429,32429,0,0,0,0
G00962,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,,,,,ZCTA5 00962,962,,22491,22487,22487,0,4,0,0
G00965,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,ZCTA5 00965,965,,9134,9134,9134,0,0,0,0
G00966,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,,,ZCTA5 00966,966,,16676,16676,16676,0,0,0,0
G00968,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,,ZCTA5 00968,968,,3478,3478,3478,0,0,0,0
G00969,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,,,,,ZCTA5 00969,969,,42219,42219,42219,0,0,0,0
G00971,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,,,,,ZCTA5 00971,971,,30986,30982,30982,0,4,0,0
G00976,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,,,,,ZCTA5 00976,976,,65136,65136,65136,0,0,0,0
G00979,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,,,,,ZCTA5 00979,979,,17030,17030,17030,0,0,0,0
G00982,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,,,,,ZCTA5 00982,982,,16428,16428,16428,0,0,0,0
G00983,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,,,,,ZCTA5 00983,983,,39234,39234,39234,0,0,0,0
G00985,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,,,,,ZCTA5 00985,985,,36553,36481,36481,0,72,0,0
G00987,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,,ZCTA5 00987,987,,63661,63443,63443,0,218,0,0
G01001,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,,,,,ZCTA5 01001,1001,,16769,16684,16684,0,85,0,0
G01002,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,,,,,ZCTA5 01002,1002,,29049,25560,25560,0,3489,0,0
G01003,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,,,,,ZCTA5 01003,1003,,10372,10372,10372,0,0,0,0
G01005,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,ZCTA5 01005,1005,,5079,0,0,0,5079,0,1
G01007,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,,,,,ZCTA5 01007,1007,,14649,5915,5915,0,8734,0,1
G01008,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,,,,,ZCTA5 01008,1008,,1263,0,0,0,1263,0,1
G01009,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,,,,,ZCTA5 01009,1009,,741,630,630,0,111,0,0
G01010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,,,,ZCTA5 01010,1010,,3609,0,0,0,3609,0,1
G01011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,ZCTA5 01011,1011,,1370,0,0,0,1370,0,1
G01012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,ZCTA5 01012,1012,,661,0,0,0,661,0,1
G01013,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,ZCTA5 01013,1013,,23188,23188,23188,0,0,0,0
G01020,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,,,ZCTA5 01020,1020,,29668,29668,29668,0,0,0,0
G01022,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,ZCTA5 01022,1022,,2451,2451,2451,0,0,0,0
G01026,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,,,,,ZCTA5 01026,1026,,946,0,0,0,946,0,1
G01027,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,,,,,ZCTA5 01027,1027,,17660,15417,15417,0,2243,0,0
G01028,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,ZCTA5 01028,1028,,15720,15436,15436,0,284,0,0
G01029,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,ZCTA5 01029,1029,,789,0,0,0,789,0,1
G01030,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,ZCTA5 01030,1030,,11669,10402,10402,0,1267,0,0
G01031,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,ZCTA5 01031,1031,,1308,408,0,408,900,0,1
G01032,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,ZCTA5 01032,1032,,570,0,0,0,570,0,1
G01033,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,ZCTA5 01033,1033,,6227,3380,3380,0,2847,0,0
G01034,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,,,,,ZCTA5 01034,1034,,2021,0,0,0,2021,0,1
G01035,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,,,,,ZCTA5 01035,1035,,5250,3125,2806,319,2125,0,0
G01036,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036,,,,,ZCTA5 01036,1036,,5109,2684,2684,0,2425,0,0
G01037,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,ZCTA5 01037,1037,,838,0,0,0,838,0,1
G01038,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,,,,,ZCTA5 01038,1038,,2545,0,0,0,2545,0,1
G01039,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,,,,,ZCTA5 01039,1039,,1336,395,395,0,941,0,1
G01040,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,ZCTA5 01040,1040,,39880,39444,39444,0,436,0,0
G01050,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,ZCTA5 01050,1050,,2530,68,68,0,2462,0,1
G01053,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,,,,,ZCTA5 01053,1053,,1685,1254,1254,0,431,0,0
G01054,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,,,,,ZCTA5 01054,1054,,1851,0,0,0,1851,0,1
G01056,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,ZCTA5 01056,1056,,21103,18627,18627,0,2476,0,0
G01057,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,,,,,ZCTA5 01057,1057,,8534,2317,2317,0,6217,0,1
G01060,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,ZCTA5 01060,1060,,15284,14258,14258,0,1026,0,0
G01062,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,,,,,ZCTA5 01062,1062,,11150,9975,9975,0,1175,0,0
G01063,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,,,,,ZCTA5 01063,1063,,430,430,430,0,0,0,0
G01066,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066,,,,,ZCTA5 01066,1066,,64,0,0,0,64,0,1
G01068,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,,,,,ZCTA5 01068,1068,,1902,0,0,0,1902,0,1
G01069,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,,,,,ZCTA5 01069,1069,,8469,6428,6428,0,2041,0,0
G01070,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,,,,,ZCTA5 01070,1070,,629,0,0,0,629,0,1
G01071,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,,,,,ZCTA5 01071,1071,,1596,455,455,0,1141,0,1
G01072,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,ZCTA5 01072,1072,,1478,0,0,0,1478,0,1
G01073,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,,,,,ZCTA5 01073,1073,,5792,1107,1107,0,4685,0,1
G01074,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,,,,,ZCTA5 01074,1074,,319,0,0,0,319,0,1
G01075,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,,,,,ZCTA5 01075,1075,,17527,16949,16949,0,578,0,0
G01077,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,,,,,ZCTA5 01077,1077,,9502,5023,5023,0,4479,0,0
G01079,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,,,,,ZCTA5 01079,1079,,692,426,426,0,266,0,0
G01080,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,ZCTA5 01080,1080,,2334,2334,2334,0,0,0,0
G01081,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,,,,,ZCTA5 01081,1081,,1698,0,0,0,1698,0,1
G01082,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,ZCTA5 01082,1082,,10322,6560,6,6554,3762,0,0
G01083,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,,,,,ZCTA5 01083,1083,,2888,1502,0,1502,1386,0,0
G01084,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084,,,,,ZCTA5 01084,1084,,176,0,0,0,176,0,1
G01085,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,,,,,ZCTA5 01085,1085,,41117,37649,37649,0,3468,0,0
G01086,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086,,,,,ZCTA5 01086,1086,,687,687,687,0,0,0,0
G01088,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,,,,,ZCTA5 01088,1088,,670,0,0,0,670,0,1
G01089,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,,,,ZCTA5 01089,1089,,28391,27877,27877,0,514,0,0
G01092,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,,,,,ZCTA5 01092,1092,,1394,638,0,638,756,0,1
G01093,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,,,,,ZCTA5 01093,1093,,325,0,0,0,325,0,1
G01094,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,,,,,ZCTA5 01094,1094,,351,0,0,0,351,0,1
G01095,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,,,,,ZCTA5 01095,1095,,14319,12387,12387,0,1932,0,0
