GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,ZCTA,SABINSA,TOTAL,URBAN,URBAN_AREAS,URBAN_CLUSTER,RURAL,NONDF,Rural_Dummy
G31750,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31750,,,,,ZCTA5 31750,31750,,18687,11638,0,11638,7049,0,0
G31756,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31756,,,,,ZCTA5 31756,31756,,966,0,0,0,966,0,1
G31757,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31757,,,,,ZCTA5 31757,31757,,10451,4828,0,4828,5623,0,1
G31763,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31763,,,,,ZCTA5 31763,31763,,23304,14677,11046,3631,8627,0,0
G31764,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31764,,,,,ZCTA5 31764,31764,,1296,0,0,0,1296,0,1
G31765,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31765,,,,,ZCTA5 31765,31765,,2647,0,0,0,2647,0,1
G31768,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31768,,,,,ZCTA5 31768,31768,,23617,15142,0,15142,8475,0,0
G31771,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31771,,,,,ZCTA5 31771,31771,,5666,453,0,453,5213,0,1
G31772,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31772,,,,,ZCTA5 31772,31772,,482,0,0,0,482,0,1
G31773,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31773,,,,,ZCTA5 31773,31773,,3729,0,0,0,3729,0,1
G31774,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31774,,,,,ZCTA5 31774,31774,,6714,3366,0,3366,3348,0,0
G31775,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31775,,,,,ZCTA5 31775,31775,,2979,0,0,0,2979,0,1
G31778,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31778,,,,,ZCTA5 31778,31778,,2562,0,0,0,2562,0,1
G31779,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31779,,,,,ZCTA5 31779,31779,,9927,5512,0,5512,4415,0,0
G31780,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31780,,,,,ZCTA5 31780,31780,,2285,0,0,0,2285,0,1
G31781,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31781,,,,,ZCTA5 31781,31781,,1752,684,0,684,1068,0,1
G31783,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31783,,,,,ZCTA5 31783,31783,,1107,0,0,0,1107,0,1
G31784,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31784,,,,,ZCTA5 31784,31784,,781,0,0,0,781,0,1
G31787,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31787,,,,,ZCTA5 31787,31787,,1488,0,0,0,1488,0,1
G31788,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31788,,,,,ZCTA5 31788,31788,,10602,3082,0,3082,7520,0,1
G31789,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31789,,,,,ZCTA5 31789,31789,,1236,0,0,0,1236,0,1
G31790,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31790,,,,,ZCTA5 31790,31790,,2078,670,0,670,1408,0,1
