GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G02539,2015-2019,US,2539,ZCTA5 02539,4276,121,29,7,343,257,225,3294,0,3.507951356
G02540,2015-2019,US,2540,ZCTA5 02540,8068,221,260,233,264,420,277,6393,0,5.961824492
G02542,2015-2019,US,2542,ZCTA5 02542,880,0,57,85,60,118,19,541,0,6.477272727
G02543,2015-2019,US,2543,ZCTA5 02543,649,33,39,0,9,8,0,560,0,11.09399076
G02553,2015-2019,US,2553,ZCTA5 02553,111,0,0,0,0,0,0,111,0,0
G02554,2015-2019,US,2554,ZCTA5 02554,10794,432,473,228,466,165,262,8768,0,8.384287567
G02556,2015-2019,US,2556,ZCTA5 02556,2417,35,34,1,13,55,0,2279,0,2.854778651
G02557,2015-2019,US,2557,ZCTA5 02557,4621,422,29,142,106,310,170,3442,0,9.759792253
G02558,2015-2019,US,2558,ZCTA5 02558,1170,59,191,48,88,0,19,765,0,21.36752137
G02559,2015-2019,US,2559,ZCTA5 02559,3746,119,74,96,45,134,122,3156,0,5.152162306
G02561,2015-2019,US,2561,ZCTA5 02561,296,0,0,0,0,0,0,296,0,0
G02562,2015-2019,US,2562,ZCTA5 02562,3094,74,91,7,43,0,109,2770,0,5.332902392
G02563,2015-2019,US,2563,ZCTA5 02563,9695,165,228,427,361,200,88,8226,0,4.053635895
G02564,2015-2019,US,2564,ZCTA5 02564,228,55,0,0,0,0,0,173,0,24.12280702
G02568,2015-2019,US,2568,ZCTA5 02568,4093,161,213,288,43,238,161,2989,0,9.137551918
G02571,2015-2019,US,2571,ZCTA5 02571,10416,584,633,1046,673,223,346,6911,0,11.68394777
G02575,2015-2019,US,2575,ZCTA5 02575,2385,10,133,9,0,187,0,2046,0,5.995807128
G02576,2015-2019,US,2576,ZCTA5 02576,4365,32,126,112,70,125,14,3886,0,3.619702176
G02584,2015-2019,US,2584,ZCTA5 02584,0,0,0,0,0,0,0,0,0,#DIV/0!
G02601,2015-2019,US,2601,ZCTA5 02601,15451,748,1331,727,514,2082,579,9470,0,13.45543978
G02630,2015-2019,US,2630,ZCTA5 02630,1942,0,16,4,0,77,10,1835,0,0.823892894
G02631,2015-2019,US,2631,ZCTA5 02631,9395,216,281,87,181,471,110,8049,0,5.290047898
G02632,2015-2019,US,2632,ZCTA5 02632,10129,365,286,106,173,138,228,8833,0,6.427090532
G02633,2015-2019,US,2633,ZCTA5 02633,4055,173,168,61,93,82,27,3451,0,8.409371147
G02635,2015-2019,US,2635,ZCTA5 02635,3004,154,29,115,50,109,107,2440,0,6.091877497
G02637,2015-2019,US,2637,ZCTA5 02637,199,0,0,0,0,0,0,199,0,0
G02638,2015-2019,US,2638,ZCTA5 02638,3126,150,27,47,162,112,18,2610,0,5.6621881
G02639,2015-2019,US,2639,ZCTA5 02639,3189,252,225,161,10,184,186,2171,0,14.95766698
G02641,2015-2019,US,2641,ZCTA5 02641,194,8,9,0,0,0,0,177,0,8.762886598
G02642,2015-2019,US,2642,ZCTA5 02642,4859,86,318,175,19,153,100,4008,0,8.314467998
G02643,2015-2019,US,2643,ZCTA5 02643,0,0,0,0,0,0,0,0,0,#DIV/0!
G02644,2015-2019,US,2644,ZCTA5 02644,3700,50,88,15,196,325,163,2863,0,3.72972973
G02645,2015-2019,US,2645,ZCTA5 02645,8997,259,259,363,328,663,60,7065,0,5.757474714
G02646,2015-2019,US,2646,ZCTA5 02646,2034,120,72,28,130,130,26,1528,0,9.439528024
G02647,2015-2019,US,2647,ZCTA5 02647,97,0,0,0,0,0,0,97,0,0
G02648,2015-2019,US,2648,ZCTA5 02648,6667,70,209,101,75,293,24,5895,0,4.18479076
G02649,2015-2019,US,2649,ZCTA5 02649,14032,228,357,426,734,690,275,11322,0,4.169042189
G02650,2015-2019,US,2650,ZCTA5 02650,768,28,0,9,0,35,0,696,0,3.645833333
G02651,2015-2019,US,2651,ZCTA5 02651,25,0,0,0,0,0,0,25,0,0
G02652,2015-2019,US,2652,ZCTA5 02652,687,0,13,0,106,0,11,557,0,1.892285298
G02653,2015-2019,US,2653,ZCTA5 02653,5797,199,236,149,187,90,78,4858,0,7.503881318
G02655,2015-2019,US,2655,ZCTA5 02655,3208,171,51,53,80,110,8,2735,0,6.920199501
G02657,2015-2019,US,2657,ZCTA5 02657,2949,124,185,38,116,123,74,2289,0,10.47812818
G02659,2015-2019,US,2659,ZCTA5 02659,1021,43,15,20,100,43,0,800,0,5.680705191
G02660,2015-2019,US,2660,ZCTA5 02660,6082,161,340,182,162,217,51,4969,0,8.237421901
G02663,2015-2019,US,2663,ZCTA5 02663,102,0,0,0,0,0,0,102,0,0
G02664,2015-2019,US,2664,ZCTA5 02664,8527,378,251,147,240,334,86,7091,0,7.376568547
G02666,2015-2019,US,2666,ZCTA5 02666,435,2,20,1,0,105,0,307,0,5.057471264
G02667,2015-2019,US,2667,ZCTA5 02667,3482,210,142,165,111,286,187,2381,0,10.10913268
G02668,2015-2019,US,2668,ZCTA5 02668,2660,0,66,54,22,119,15,2384,0,2.481203008
G02669,2015-2019,US,2669,ZCTA5 02669,27,0,0,0,0,0,0,27,0,0
G02670,2015-2019,US,2670,ZCTA5 02670,1195,12,66,5,45,76,32,959,0,6.527196653
G02671,2015-2019,US,2671,ZCTA5 02671,1026,21,25,0,0,49,0,931,0,4.483430799
G02672,2015-2019,US,2672,ZCTA5 02672,277,0,0,0,0,0,0,277,0,0
G02673,2015-2019,US,2673,ZCTA5 02673,8490,230,335,145,396,594,489,6301,0,6.654888104
G02675,2015-2019,US,2675,ZCTA5 02675,6580,251,190,312,574,176,164,4913,0,6.70212766
G02702,2015-2019,US,2702,ZCTA5 02702,4259,103,224,3,8,144,38,3739,0,7.677858652
G02703,2015-2019,US,2703,ZCTA5 02703,44235,1743,2043,1632,1511,1331,860,35115,0,8.558833503
G02713,2015-2019,US,2713,ZCTA5 02713,49,2,0,0,0,0,2,45,0,4.081632653
G02715,2015-2019,US,2715,ZCTA5 02715,3893,16,4,6,62,22,33,3750,0,0.513742615
G02717,2015-2019,US,2717,ZCTA5 02717,4893,103,90,30,149,189,119,4213,0,3.944410382
G02718,2015-2019,US,2718,ZCTA5 02718,6390,364,197,92,101,624,0,5012,0,8.779342723
G02719,2015-2019,US,2719,ZCTA5 02719,15639,568,600,537,682,614,352,12286,0,7.468508217
G02720,2015-2019,US,2720,ZCTA5 02720,29207,2623,2402,1342,1877,1904,970,18089,0,17.20477968
G02721,2015-2019,US,2721,ZCTA5 02721,25698,2505,2657,1387,2124,2669,813,13543,0,20.08716632
G02723,2015-2019,US,2723,ZCTA5 02723,14988,977,2149,676,722,1713,671,8080,0,20.85668535
G02724,2015-2019,US,2724,ZCTA5 02724,17756,1952,2026,1481,772,1026,762,9737,0,22.40369453
G02725,2015-2019,US,2725,ZCTA5 02725,2359,47,78,0,63,0,44,2127,0,5.298855447
G02726,2015-2019,US,2726,ZCTA5 02726,15507,125,452,329,426,359,333,13483,0,3.720900239
G02738,2015-2019,US,2738,ZCTA5 02738,4987,132,69,261,68,234,102,4121,0,4.030479246
G02739,2015-2019,US,2739,ZCTA5 02739,6336,102,58,0,13,109,71,5983,0,2.525252525
G02740,2015-2019,US,2740,ZCTA5 02740,42356,3701,4384,3612,2018,2890,1703,24048,0,19.08820474
G02743,2015-2019,US,2743,ZCTA5 02743,10494,144,303,281,317,770,340,8339,0,4.259576901
G02744,2015-2019,US,2744,ZCTA5 02744,11105,1506,1151,670,569,657,343,6209,0,23.92615939
G02745,2015-2019,US,2745,ZCTA5 02745,24532,1888,2057,877,793,1368,469,17080,0,16.08103701
G02746,2015-2019,US,2746,ZCTA5 02746,15347,1744,2520,1201,855,1751,612,6664,0,27.78393171
G02747,2015-2019,US,2747,ZCTA5 02747,17966,578,740,485,358,660,320,14825,0,7.336079261
G02748,2015-2019,US,2748,ZCTA5 02748,11439,163,511,276,239,472,93,9685,0,5.892123437
G02760,2015-2019,US,2760,ZCTA5 02760,27302,908,1433,597,778,863,459,22264,0,8.574463409
G02762,2015-2019,US,2762,ZCTA5 02762,9183,58,359,116,71,150,72,8357,0,4.540999673
G02763,2015-2019,US,2763,ZCTA5 02763,1699,52,0,0,0,97,0,1550,0,3.060623896
G02764,2015-2019,US,2764,ZCTA5 02764,3790,137,20,237,82,255,0,3059,0,4.142480211
G02766,2015-2019,US,2766,ZCTA5 02766,17751,630,525,230,302,347,242,15475,0,6.50667568
G02767,2015-2019,US,2767,ZCTA5 02767,14309,293,481,82,311,307,73,12762,0,5.409183032
G02769,2015-2019,US,2769,ZCTA5 02769,12066,118,93,217,132,232,249,11025,0,1.748715399
G02770,2015-2019,US,2770,ZCTA5 02770,5372,42,143,194,7,45,58,4883,0,3.443782576
G02771,2015-2019,US,2771,ZCTA5 02771,15413,438,380,368,234,491,43,13459,0,5.307208201
G02777,2015-2019,US,2777,ZCTA5 02777,16367,451,319,203,454,438,469,14033,0,4.704588501
G02779,2015-2019,US,2779,ZCTA5 02779,6708,103,66,103,35,459,108,5834,0,2.519379845
G02780,2015-2019,US,2780,ZCTA5 02780,49857,3424,4045,2530,2654,2162,1120,33922,0,14.98084522
G02790,2015-2019,US,2790,ZCTA5 02790,15679,203,671,309,152,818,384,13142,0,5.574335098
G02791,2015-2019,US,2791,ZCTA5 02791,402,56,0,0,0,0,7,339,0,13.93034826
G02802,2015-2019,US,2802,ZCTA5 02802,723,86,52,51,0,156,0,378,0,19.08713693
G02804,2015-2019,US,2804,ZCTA5 02804,1849,0,58,0,107,15,0,1669,0,3.136830719
G02806,2015-2019,US,2806,ZCTA5 02806,16153,197,272,201,397,498,38,14550,0,2.903485421
G02807,2015-2019,US,2807,ZCTA5 02807,916,30,28,92,58,65,10,633,0,6.331877729
G02808,2015-2019,US,2808,ZCTA5 02808,2266,177,21,58,59,14,0,1937,0,8.737864078
G02809,2015-2019,US,2809,ZCTA5 02809,18605,902,799,740,405,881,216,14662,0,9.142703574
G02812,2015-2019,US,2812,ZCTA5 02812,1207,0,16,14,0,0,36,1141,0,1.325600663
G02813,2015-2019,US,2813,ZCTA5 02813,7787,230,401,79,147,174,178,6578,0,8.103249005
G02814,2015-2019,US,2814,ZCTA5 02814,7861,272,395,35,105,108,395,6551,0,8.484925582
G02815,2015-2019,US,2815,ZCTA5 02815,367,12,0,0,0,16,0,339,0,3.269754768
G02816,2015-2019,US,2816,ZCTA5 02816,32276,1676,1093,971,969,1265,263,26039,0,8.579130004
G02817,2015-2019,US,2817,ZCTA5 02817,6195,94,60,0,74,187,58,5722,0,2.485875706
G02818,2015-2019,US,2818,ZCTA5 02818,18252,425,524,156,308,615,107,16117,0,5.199430199
G02822,2015-2019,US,2822,ZCTA5 02822,6208,183,129,177,81,234,0,5404,0,5.025773196
G02825,2015-2019,US,2825,ZCTA5 02825,5745,32,196,67,39,73,121,5217,0,3.968668407
G02826,2015-2019,US,2826,ZCTA5 02826,418,17,14,0,0,28,0,359,0,7.416267943
G02827,2015-2019,US,2827,ZCTA5 02827,2141,21,80,1,66,124,46,1803,0,4.717421766
G02828,2015-2019,US,2828,ZCTA5 02828,7353,17,116,19,83,198,133,6787,0,1.80878553
G02830,2015-2019,US,2830,ZCTA5 02830,6255,130,591,10,228,168,42,5086,0,11.52677858
G02831,2015-2019,US,2831,ZCTA5 02831,3264,6,94,122,76,42,0,2924,0,3.06372549
G02832,2015-2019,US,2832,ZCTA5 02832,4795,115,214,246,121,175,224,3700,0,6.861313869
G02833,2015-2019,US,2833,ZCTA5 02833,1120,0,113,139,0,58,65,745,0,10.08928571
G02835,2015-2019,US,2835,ZCTA5 02835,5494,138,40,91,18,45,35,5127,0,3.239898071
G02836,2015-2019,US,2836,ZCTA5 02836,150,0,0,0,0,5,0,145,0,0
G02837,2015-2019,US,2837,ZCTA5 02837,3489,129,39,24,164,53,0,3080,0,4.815133276
G02838,2015-2019,US,2838,ZCTA5 02838,3383,28,523,125,140,69,15,2483,0,16.28731895
G02839,2015-2019,US,2839,ZCTA5 02839,2098,0,240,0,93,0,99,1666,0,11.43946616
G02840,2015-2019,US,2840,ZCTA5 02840,21616,1231,1900,1073,803,1341,295,14973,0,14.48464101
G02841,2015-2019,US,2841,ZCTA5 02841,0,0,0,0,0,0,0,0,0,#DIV/0!
G02842,2015-2019,US,2842,ZCTA5 02842,15721,753,734,363,724,758,222,12167,0,9.458685834
G02852,2015-2019,US,2852,ZCTA5 02852,21785,840,1199,393,427,742,290,17894,0,9.359651136
G02857,2015-2019,US,2857,ZCTA5 02857,8183,102,105,196,21,140,127,7492,0,2.529634608
G02858,2015-2019,US,2858,ZCTA5 02858,774,0,95,0,61,0,0,618,0,12.27390181
G02859,2015-2019,US,2859,ZCTA5 02859,6731,248,355,105,155,147,29,5692,0,8.958549993
G02860,2015-2019,US,2860,ZCTA5 02860,46113,2907,5821,2447,2399,4607,1378,26554,0,18.92741743
G02861,2015-2019,US,2861,ZCTA5 02861,25443,923,1484,1190,778,1237,753,19078,0,9.460362379
G02863,2015-2019,US,2863,ZCTA5 02863,18941,1957,3761,2357,1388,2395,353,6730,0,30.18848002
G02864,2015-2019,US,2864,ZCTA5 02864,34564,830,1263,972,392,960,213,29934,0,6.055433399
G02865,2015-2019,US,2865,ZCTA5 02865,17580,458,521,445,288,759,153,14956,0,5.568828214
G02871,2015-2019,US,2871,ZCTA5 02871,16814,363,655,131,211,389,163,14902,0,6.054478411
G02872,2015-2019,US,2872,ZCTA5 02872,244,0,0,14,46,35,0,149,0,0
G02873,2015-2019,US,2873,ZCTA5 02873,200,0,0,0,0,0,0,200,0,0
G02874,2015-2019,US,2874,ZCTA5 02874,6045,110,83,3,31,19,87,5712,0,3.192721257
G02875,2015-2019,US,2875,ZCTA5 02875,466,0,0,26,0,0,0,440,0,0
G02876,2015-2019,US,2876,ZCTA5 02876,353,43,84,0,12,0,0,214,0,35.97733711
G02878,2015-2019,US,2878,ZCTA5 02878,15696,497,429,415,301,774,472,12808,0,5.899592253
G02879,2015-2019,US,2879,ZCTA5 02879,20479,507,990,693,438,917,209,16725,0,7.309927243
G02881,2015-2019,US,2881,ZCTA5 02881,2629,302,148,143,21,73,16,1926,0,17.11677444
G02882,2015-2019,US,2882,ZCTA5 02882,14004,1820,542,195,296,683,228,10240,0,16.86660954
G02885,2015-2019,US,2885,ZCTA5 02885,10304,384,803,554,249,409,67,7838,0,11.51979814
G02886,2015-2019,US,2886,ZCTA5 02886,28176,717,1304,1254,1104,960,476,22361,0,7.172771153
G02888,2015-2019,US,2888,ZCTA5 02888,18647,430,650,506,718,898,515,14930,0,5.791816378
G02889,2015-2019,US,2889,ZCTA5 02889,27708,771,853,677,978,1413,367,22649,0,5.861123141
G02891,2015-2019,US,2891,ZCTA5 02891,20907,787,1190,900,546,699,380,16405,0,9.456163008
G02892,2015-2019,US,2892,ZCTA5 02892,5451,16,47,2,150,28,157,5051,0,1.155751238
G02893,2015-2019,US,2893,ZCTA5 02893,28930,1363,2270,1139,753,2365,704,20336,0,12.55789838
G02894,2015-2019,US,2894,ZCTA5 02894,517,0,42,0,51,18,21,385,0,8.123791103
G02895,2015-2019,US,2895,ZCTA5 02895,40785,3707,5184,2198,2437,3826,865,22568,0,21.79968126
G02896,2015-2019,US,2896,ZCTA5 02896,11821,241,298,300,271,513,86,10112,0,4.559681922
G02898,2015-2019,US,2898,ZCTA5 02898,1276,0,13,8,15,36,38,1166,0,1.018808777
G02903,2015-2019,US,2903,ZCTA5 02903,7898,1331,1305,457,266,480,226,3833,0,33.37553811
G02904,2015-2019,US,2904,ZCTA5 02904,30013,2189,3388,1707,968,1775,693,19293,0,18.58194782
G02905,2015-2019,US,2905,ZCTA5 02905,25071,2949,2825,1482,1248,1861,718,13988,0,23.03059312
G02906,2015-2019,US,2906,ZCTA5 02906,23954,2629,1076,570,571,873,453,17782,0,15.46714536
G02907,2015-2019,US,2907,ZCTA5 02907,30697,2170,6521,2110,2035,3006,1592,13263,0,28.31221292
G02908,2015-2019,US,2908,ZCTA5 02908,33134,3223,3372,2579,1612,2614,648,19086,0,19.90402608
G02909,2015-2019,US,2909,ZCTA5 02909,40238,4762,7278,2166,1316,3043,1057,20616,0,29.92196431
G02910,2015-2019,US,2910,ZCTA5 02910,22294,380,1627,590,436,1633,362,17266,0,9.002422176
G02911,2015-2019,US,2911,ZCTA5 02911,15202,307,1255,584,538,1370,246,10902,0,10.27496382
G02912,2015-2019,US,2912,ZCTA5 02912,0,0,0,0,0,0,0,0,0,#DIV/0!
G02914,2015-2019,US,2914,ZCTA5 02914,20936,1328,1340,891,809,1320,791,14457,0,12.74359954
G02915,2015-2019,US,2915,ZCTA5 02915,16369,745,1031,602,539,759,228,12465,0,10.84977702
G02916,2015-2019,US,2916,ZCTA5 02916,9215,210,94,272,283,332,57,7967,0,3.298969072
G02917,2015-2019,US,2917,ZCTA5 02917,11170,221,272,238,257,415,51,9716,0,4.413607878
G02919,2015-2019,US,2919,ZCTA5 02919,28852,887,1119,819,571,1934,564,22958,0,6.952724248
G02920,2015-2019,US,2920,ZCTA5 02920,33973,1639,1894,871,1140,2805,1159,24465,0,10.39943485
G02921,2015-2019,US,2921,ZCTA5 02921,12217,84,220,321,85,302,180,11025,0,2.488335925
G03031,2015-2019,US,3031,ZCTA5 03031,11401,123,89,147,301,169,17,10555,0,1.85948601
G03032,2015-2019,US,3032,ZCTA5 03032,5446,68,9,42,85,31,38,5173,0,1.413881748
G03033,2015-2019,US,3033,ZCTA5 03033,5348,17,30,0,26,77,18,5180,0,0.878833209
G03034,2015-2019,US,3034,ZCTA5 03034,4046,36,137,10,77,28,171,3587,0,4.275827978
G03036,2015-2019,US,3036,ZCTA5 03036,5082,47,89,21,63,150,12,4700,0,2.676111767
G03037,2015-2019,US,3037,ZCTA5 03037,4350,127,143,45,103,66,25,3841,0,6.206896552
G03038,2015-2019,US,3038,ZCTA5 03038,33307,1944,751,815,570,1148,859,27220,0,8.0913922
G03042,2015-2019,US,3042,ZCTA5 03042,6966,300,71,18,284,558,135,5600,0,5.325868504
G03043,2015-2019,US,3043,ZCTA5 03043,1577,30,25,3,27,56,26,1410,0,3.48763475
G03044,2015-2019,US,3044,ZCTA5 03044,4595,61,20,9,17,72,8,4408,0,1.762785637
G03045,2015-2019,US,3045,ZCTA5 03045,12880,426,397,317,161,279,92,11208,0,6.389751553
G03046,2015-2019,US,3046,ZCTA5 03046,2813,15,16,0,99,83,31,2569,0,1.102026306
G03047,2015-2019,US,3047,ZCTA5 03047,1859,55,82,42,75,60,74,1471,0,7.369553523
G03048,2015-2019,US,3048,ZCTA5 03048,3513,60,126,138,140,222,40,2787,0,5.294619983
G03049,2015-2019,US,3049,ZCTA5 03049,7917,40,105,181,16,67,210,7298,0,1.831501832
G03051,2015-2019,US,3051,ZCTA5 03051,25165,549,466,168,246,510,393,22833,0,4.033379694
G03052,2015-2019,US,3052,ZCTA5 03052,8514,19,24,47,31,82,43,8268,0,0.505050505
G03053,2015-2019,US,3053,ZCTA5 03053,25690,239,352,103,321,782,264,23629,0,2.300506033
G03054,2015-2019,US,3054,ZCTA5 03054,25771,486,522,470,346,623,276,23048,0,3.911373249
G03055,2015-2019,US,3055,ZCTA5 03055,15423,212,464,253,555,848,165,12926,0,4.383064255
G03057,2015-2019,US,3057,ZCTA5 03057,2607,37,83,10,73,95,0,2309,0,4.602991945
G03060,2015-2019,US,3060,ZCTA5 03060,29514,1825,2687,1351,1578,1790,430,19853,0,15.28766009
G03062,2015-2019,US,3062,ZCTA5 03062,27420,664,557,425,336,785,507,24146,0,4.452954048
G03063,2015-2019,US,3063,ZCTA5 03063,16071,401,467,482,399,489,307,13526,0,5.401032916
G03064,2015-2019,US,3064,ZCTA5 03064,14278,704,798,331,123,711,273,11338,0,10.51968063
G03070,2015-2019,US,3070,ZCTA5 03070,5685,23,47,35,39,150,106,5285,0,1.231310466
G03071,2015-2019,US,3071,ZCTA5 03071,5337,116,152,38,16,322,287,4406,0,5.021547686
G03076,2015-2019,US,3076,ZCTA5 03076,13720,98,146,170,203,245,249,12609,0,1.778425656
G03077,2015-2019,US,3077,ZCTA5 03077,10338,455,324,415,231,457,427,8029,0,7.535306636
G03079,2015-2019,US,3079,ZCTA5 03079,29031,557,786,439,370,833,715,25331,0,4.626089353
G03082,2015-2019,US,3082,ZCTA5 03082,1660,51,11,12,3,57,36,1490,0,3.734939759
G03084,2015-2019,US,3084,ZCTA5 03084,1264,71,38,26,32,85,19,993,0,8.623417722
G03086,2015-2019,US,3086,ZCTA5 03086,3816,8,87,143,10,138,46,3384,0,2.48951782
G03087,2015-2019,US,3087,ZCTA5 03087,14482,59,40,130,468,188,205,13392,0,0.683607237
G03101,2015-2019,US,3101,ZCTA5 03101,2907,463,497,248,46,126,33,1494,0,33.02373581
G03102,2015-2019,US,3102,ZCTA5 03102,31366,1651,3032,1625,911,2468,1327,20352,0,14.93017917
G03103,2015-2019,US,3103,ZCTA5 03103,36314,2458,3257,1472,2026,2372,1449,23280,0,15.737732
G03104,2015-2019,US,3104,ZCTA5 03104,31334,1831,1802,1298,1093,2109,847,22354,0,11.59443416
G03106,2015-2019,US,3106,ZCTA5 03106,13411,299,235,368,223,409,296,11581,0,3.98180598
G03109,2015-2019,US,3109,ZCTA5 03109,10342,333,268,123,96,827,126,8569,0,5.811255076
G03110,2015-2019,US,3110,ZCTA5 03110,21906,172,437,68,303,419,153,20354,0,2.780060257
G03215,2015-2019,US,3215,ZCTA5 03215,186,0,0,0,2,9,0,175,0,0
G03216,2015-2019,US,3216,ZCTA5 03216,2477,203,89,34,44,58,151,1898,0,11.78845377
G03217,2015-2019,US,3217,ZCTA5 03217,2017,191,208,132,153,328,28,977,0,19.78185424
G03218,2015-2019,US,3218,ZCTA5 03218,963,0,0,155,11,63,0,734,0,0
G03220,2015-2019,US,3220,ZCTA5 03220,7478,462,229,138,245,644,0,5760,0,9.24043862
G03221,2015-2019,US,3221,ZCTA5 03221,2084,56,21,63,65,94,132,1653,0,3.694817658
G03222,2015-2019,US,3222,ZCTA5 03222,5888,177,408,114,203,402,51,4533,0,9.935461957
G03223,2015-2019,US,3223,ZCTA5 03223,3356,84,143,276,37,188,59,2569,0,6.764004768
G03224,2015-2019,US,3224,ZCTA5 03224,2330,59,23,77,31,160,31,1949,0,3.519313305
G03225,2015-2019,US,3225,ZCTA5 03225,3652,128,106,29,20,254,11,3104,0,6.407447974
G03226,2015-2019,US,3226,ZCTA5 03226,1052,35,33,16,27,28,29,884,0,6.463878327
G03227,2015-2019,US,3227,ZCTA5 03227,1022,50,7,12,24,27,0,902,0,5.577299413
G03229,2015-2019,US,3229,ZCTA5 03229,5614,36,174,73,33,121,62,5115,0,3.740648379
G03230,2015-2019,US,3230,ZCTA5 03230,1211,42,29,59,44,48,49,940,0,5.862923204
G03231,2015-2019,US,3231,ZCTA5 03231,305,6,0,19,0,0,16,264,0,1.967213115
G03233,2015-2019,US,3233,ZCTA5 03233,127,0,0,0,8,0,0,119,0,0
G03234,2015-2019,US,3234,ZCTA5 03234,4612,74,101,88,138,185,26,4000,0,3.794449263
G03235,2015-2019,US,3235,ZCTA5 03235,8600,413,341,273,532,763,141,6137,0,8.76744186
G03237,2015-2019,US,3237,ZCTA5 03237,2361,84,150,103,56,29,24,1915,0,9.911054638
G03238,2015-2019,US,3238,ZCTA5 03238,109,9,1,2,0,29,0,68,0,9.174311927
G03240,2015-2019,US,3240,ZCTA5 03240,1347,67,61,69,17,45,14,1074,0,9.502598367
G03241,2015-2019,US,3241,ZCTA5 03241,739,34,20,16,39,35,4,591,0,7.307171854
G03242,2015-2019,US,3242,ZCTA5 03242,4473,330,113,192,58,139,21,3620,0,9.90386765
G03243,2015-2019,US,3243,ZCTA5 03243,916,18,70,29,52,15,32,700,0,9.6069869
G03244,2015-2019,US,3244,ZCTA5 03244,7585,204,295,224,272,428,330,5832,0,6.578773896
G03245,2015-2019,US,3245,ZCTA5 03245,2048,14,162,160,108,82,74,1448,0,8.59375
G03246,2015-2019,US,3246,ZCTA5 03246,15989,518,1293,706,724,901,355,11492,0,11.32653699
G03249,2015-2019,US,3249,ZCTA5 03249,7169,77,317,84,98,129,125,6339,0,5.495885061
G03251,2015-2019,US,3251,ZCTA5 03251,945,29,55,52,48,93,11,657,0,8.888888889
G03253,2015-2019,US,3253,ZCTA5 03253,6336,447,389,77,199,428,67,4729,0,13.19444444
G03254,2015-2019,US,3254,ZCTA5 03254,4076,149,91,109,241,75,0,3411,0,5.888125613
G03255,2015-2019,US,3255,ZCTA5 03255,2176,12,6,30,82,55,11,1980,0,0.827205882
G03256,2015-2019,US,3256,ZCTA5 03256,2272,140,57,102,54,79,10,1830,0,8.670774648
G03257,2015-2019,US,3257,ZCTA5 03257,3468,32,96,58,8,105,0,3169,0,3.69088812
G03258,2015-2019,US,3258,ZCTA5 03258,2667,123,29,48,77,155,62,2173,0,5.699287589
G03259,2015-2019,US,3259,ZCTA5 03259,393,13,8,3,11,19,0,339,0,5.34351145
G03260,2015-2019,US,3260,ZCTA5 03260,757,0,5,4,4,38,0,706,0,0.660501982
G03261,2015-2019,US,3261,ZCTA5 03261,4335,37,169,73,139,80,10,3827,0,4.752018454
G03262,2015-2019,US,3262,ZCTA5 03262,826,26,38,38,14,85,7,618,0,7.748184019
G03263,2015-2019,US,3263,ZCTA5 03263,3918,386,123,189,100,456,32,2632,0,12.9913221
G03264,2015-2019,US,3264,ZCTA5 03264,5849,285,500,427,64,699,64,3810,0,13.42109762
G03266,2015-2019,US,3266,ZCTA5 03266,2130,124,152,75,63,88,149,1479,0,12.95774648
G03268,2015-2019,US,3268,ZCTA5 03268,1270,38,25,7,11,76,44,1069,0,4.960629921
G03269,2015-2019,US,3269,ZCTA5 03269,2902,69,44,96,68,22,77,2526,0,3.893866299
G03273,2015-2019,US,3273,ZCTA5 03273,310,0,0,0,0,11,58,241,0,0
G03275,2015-2019,US,3275,ZCTA5 03275,11400,401,367,464,411,288,475,8994,0,6.736842105
G03276,2015-2019,US,3276,ZCTA5 03276,7948,151,400,407,261,707,243,5779,0,6.932561651
G03278,2015-2019,US,3278,ZCTA5 03278,2777,115,85,55,96,74,51,2301,0,7.202016565
G03279,2015-2019,US,3279,ZCTA5 03279,765,28,31,16,84,102,16,488,0,7.712418301
G03280,2015-2019,US,3280,ZCTA5 03280,1199,21,20,27,65,25,20,1021,0,3.419516264
G03281,2015-2019,US,3281,ZCTA5 03281,9031,125,438,0,185,121,286,7876,0,6.234082604
G03282,2015-2019,US,3282,ZCTA5 03282,882,36,47,54,13,24,17,691,0,9.410430839
G03284,2015-2019,US,3284,ZCTA5 03284,832,37,36,40,0,17,0,702,0,8.774038462
G03285,2015-2019,US,3285,ZCTA5 03285,2455,0,70,94,128,165,33,1965,0,2.851323829
G03287,2015-2019,US,3287,ZCTA5 03287,1535,20,6,40,16,64,6,1383,0,1.693811075
G03290,2015-2019,US,3290,ZCTA5 03290,4948,44,111,95,67,42,69,4520,0,3.13257882
G03291,2015-2019,US,3291,ZCTA5 03291,109,0,97,12,0,0,0,0,1,88.99082569
G03293,2015-2019,US,3293,ZCTA5 03293,300,0,0,138,0,24,0,138,0,0
G03301,2015-2019,US,3301,ZCTA5 03301,30478,1363,1816,651,1002,1718,1075,22853,0,10.43047444
G03303,2015-2019,US,3303,ZCTA5 03303,15199,293,416,300,454,900,434,12402,0,4.664780578
G03304,2015-2019,US,3304,ZCTA5 03304,7872,82,92,55,39,164,29,7411,0,2.210365854
G03307,2015-2019,US,3307,ZCTA5 03307,5505,284,93,45,77,458,114,4434,0,6.848319709
