GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G00723,2015-2019,PR,723,ZCTA5 00723,16984,4798,4343,1894,1260,1396,391,2902,1,53.82124352
G00725,2015-2019,PR,725,ZCTA5 00725,80068,18276,15462,5759,6488,6631,2832,24620,0,42.13668382
G00727,2015-2019,PR,727,ZCTA5 00727,52500,8320,8172,3105,3612,4960,1731,22600,0,31.41333333
G00728,2015-2019,PR,728,ZCTA5 00728,36914,8867,9209,3523,3042,2965,702,8606,0,48.96787127
G00729,2015-2019,PR,729,ZCTA5 00729,50711,10781,10299,4882,4054,4413,1604,14678,0,41.56889038
G00730,2015-2019,PR,730,ZCTA5 00730,30067,9286,6809,2174,2348,1970,861,6619,1,53.53044866
G00731,2015-2019,PR,731,ZCTA5 00731,12608,3997,2806,872,720,1084,511,2618,1,53.95780457
G00735,2015-2019,PR,735,ZCTA5 00735,12158,2368,2726,1444,1626,1688,520,1786,0,41.89833854
G00736,2015-2019,PR,736,ZCTA5 00736,45982,9895,9449,3989,3505,4086,1445,13613,0,42.06863555
G00738,2015-2019,PR,738,ZCTA5 00738,29073,6729,5519,3342,3180,2101,1141,7061,0,42.12843532
G00739,2015-2019,PR,739,ZCTA5 00739,36643,8483,7693,4195,3619,2410,1594,8649,0,44.14485714
G00740,2015-2019,PR,740,ZCTA5 00740,1915,854,433,68,108,330,40,82,1,67.20626632
G00741,2015-2019,PR,741,ZCTA5 00741,4028,762,1025,228,480,258,435,840,0,44.36444886
G00745,2015-2019,PR,745,ZCTA5 00745,49890,9859,9574,4989,4383,4867,2319,13899,0,38.95169373
G00751,2015-2019,PR,751,ZCTA5 00751,20620,4593,5414,2228,1888,2822,418,3257,0,48.53055286
G00754,2015-2019,PR,754,ZCTA5 00754,36837,7478,8586,3320,3060,4320,829,9244,0,43.60832858
G00757,2015-2019,PR,757,ZCTA5 00757,21757,4478,5389,1863,1135,2054,161,6677,0,45.35092154
G00765,2015-2019,PR,765,ZCTA5 00765,8523,2243,1680,1076,924,443,58,2099,0,46.02839376
G00766,2015-2019,PR,766,ZCTA5 00766,22547,6192,4624,1931,1828,2772,807,4393,0,47.97090522
G00767,2015-2019,PR,767,ZCTA5 00767,33446,9080,8686,2821,2283,3125,902,6549,1,53.11845961
G00769,2015-2019,PR,769,ZCTA5 00769,38773,10199,7656,3825,2736,3289,1282,9786,0,46.0500864
G00771,2015-2019,PR,771,ZCTA5 00771,36819,7552,8095,3122,3845,3878,1554,8773,0,42.49708031
G00772,2015-2019,PR,772,ZCTA5 00772,19529,6257,4063,2328,1371,1663,389,3458,1,52.84448768
G00773,2015-2019,PR,773,ZCTA5 00773,18050,4267,3415,1839,1249,2486,489,4305,0,42.55955679
G00775,2015-2019,PR,775,ZCTA5 00775,1279,83,382,144,152,206,35,277,0,36.35652854
G00777,2015-2019,PR,777,ZCTA5 00777,39547,9987,8635,3645,3216,3625,1061,9378,0,47.08827471
G00778,2015-2019,PR,778,ZCTA5 00778,46495,6903,7198,3189,2883,4300,1875,20147,0,30.32799226
G00780,2015-2019,PR,780,ZCTA5 00780,10969,2816,2316,1029,774,1042,160,2832,0,46.78639803
G00782,2015-2019,PR,782,ZCTA5 00782,17594,5911,4405,1902,1652,1524,293,1907,1,58.6336251
G00783,2015-2019,PR,783,ZCTA5 00783,32581,11683,6737,2485,2495,2634,572,5975,1,56.53601792
G00784,2015-2019,PR,784,ZCTA5 00784,38037,10803,8201,3309,2896,3261,755,8812,0,49.96187922
G00786,2015-2019,PR,786,ZCTA5 00786,360,0,46,0,130,88,0,96,0,12.77777778
G00791,2015-2019,PR,791,ZCTA5 00791,48143,10375,10245,5101,3866,4123,1403,13030,0,42.83073344
